"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.851114583E-1,-9.143695831E0,1.090826225E1,-4.963248444E1,5.163313733E1
7.951594583E-1,-9.129455566E0,1.076914597E1,-4.949739075E1,5.147147904E1
8.052084583E-1,-9.119911194E0,1.047031975E1,-4.932359314E1,5.124077689E1
8.152564583E-1,-8.920326233E0,1.024647331E1,-4.956380844E1,5.139195990E1
8.253044583E-1,-8.811714172E0,1.015505981E1,-4.960142517E1,5.139137015E1
8.353534583E-1,-8.738338470E0,1.031314087E1,-4.980350113E1,5.160531134E1
8.454014583E-1,-8.715656281E0,1.044806957E1,-4.956500244E1,5.139858256E1
8.554494583E-1,-8.794475555E0,1.036076260E1,-4.957846069E1,5.140731433E1
8.654984583E-1,-8.760746002E0,1.021053314E1,-4.958103561E1,5.137396958E1
8.755464583E-1,-8.683410645E0,1.021015263E1,-4.952973175E1,5.131123819E1
8.855944583E-1,-9.058765411E0,1.034022808E1,-4.900078964E1,5.089262160E1
8.956434583E-1,-8.698554993E0,1.016143990E1,-4.956069183E1,5.133402278E1
9.056914583E-1,-8.635627747E0,1.013633823E1,-4.929995346E1,5.106667045E1
9.157404583E-1,-8.516471863E0,1.011384678E1,-4.972870255E1,5.145642862E1
9.257884583E-1,-8.441951752E0,9.970340729E0,-4.948473740E1,5.118020593E1
9.358364583E-1,-8.306385040E0,1.005810928E1,-4.977724075E1,5.145809258E1
9.458854583E-1,-8.231552124E0,1.016979504E1,-4.987006378E1,5.155779711E1
9.559334583E-1,-8.377101898E0,1.015750313E1,-4.973698807E1,5.145015732E1
9.659814583E-1,-8.307098389E0,1.025547981E1,-4.982546616E1,5.154376614E1
9.760304583E-1,-8.543895721E0,1.015417385E1,-4.972236633E1,5.146279350E1
9.860784583E-1,-8.409946442E0,1.012007999E1,-4.993739700E1,5.164190970E1
9.961264583E-1,-8.253753662E0,1.021162224E1,-4.993401718E1,5.163146086E1
1.006175458E0,-8.255771637E0,1.008201408E1,-4.964581299E1,5.132749283E1
1.016223458E0,-8.254280090E0,1.014915562E1,-4.964966202E1,5.134420550E1
1.026271458E0,-8.372425079E0,1.034260368E1,-4.965206909E1,5.140423054E1
1.036320458E0,-8.430622101E0,1.033794022E1,-4.968335342E1,5.144301706E1
1.046368458E0,-8.488437653E0,1.027027607E1,-4.964670181E1,5.140357133E1
1.056416458E0,-8.335662842E0,1.019263935E1,-4.965183640E1,5.136806429E1
1.066465458E0,-8.347633362E0,1.041291142E1,-4.977280807E1,5.153100165E1
1.076513458E0,-8.491092682E0,1.052714825E1,-4.967313385E1,5.148145036E1
1.086561458E0,-8.297985077E0,1.035506248E1,-4.982152939E1,5.155840054E1
1.096610458E0,-8.283149719E0,1.026941872E1,-4.985688782E1,5.157306267E1
1.106658458E0,-8.274986267E0,1.010466385E1,-4.984008408E1,5.152294256E1
1.116706458E0,-8.346435547E0,1.026433563E1,-5.005058670E1,5.176949682E1
1.126755458E0,-8.240089417E0,1.025242805E1,-4.973431396E1,5.144427412E1
1.136803458E0,-8.044258118E0,1.002181149E1,-4.964587021E1,5.128215306E1
1.146851458E0,-7.919742584E0,1.000424957E1,-4.965132904E1,5.126462530E1
1.156900458E0,-8.042957306E0,1.009098911E1,-4.962362671E1,5.127398513E1
1.166948458E0,-7.985107422E0,1.021845055E1,-4.969470978E1,5.135896078E1
1.176997458E0,-7.925296783E0,1.023411751E1,-4.973600769E1,5.139278112E1
1.187045458E0,-7.981826782E0,1.031997681E1,-4.971627808E1,5.139960881E1
1.197093458E0,-7.955692291E0,1.031711292E1,-4.979692459E1,5.147299834E1
1.207142458E0,-8.054431915E0,1.047434998E1,-4.964957428E1,5.137768102E1
1.217190458E0,-8.079467773E0,1.035908413E1,-4.979244614E1,5.149636993E1
1.227238458E0,-8.093414307E0,1.027074814E1,-4.966460800E1,5.135722841E1
1.237287458E0,-8.207866669E0,1.027567005E1,-4.976546097E1,5.147387275E1
1.247335458E0,-8.110210419E0,1.028566170E1,-4.972029495E1,5.141671012E1
1.257383458E0,-8.105842590E0,1.044025898E1,-4.970077133E1,5.142830313E1
1.267432458E0,-8.156265259E0,1.048710823E1,-4.991421127E1,5.165203374E1
1.277480458E0,-8.118350983E0,1.044994450E1,-4.993629456E1,5.165987298E1
1.287528458E0,-8.014076233E0,1.043470669E1,-4.972256851E1,5.143386376E1
1.297577458E0,-8.056041718E0,1.048684883E1,-4.962368774E1,5.135546896E1
1.307625458E0,-8.126743317E0,1.050973415E1,-4.968394089E1,5.142949009E1
1.317673458E0,-7.956348419E0,1.076575470E1,-4.970678711E1,5.147785581E1
1.327722458E0,-8.107574463E0,1.097491741E1,-4.977113342E1,5.160762829E1
1.337770458E0,-8.154304504E0,1.083986950E1,-4.966873932E1,5.148765986E1
1.347818458E0,-8.247856140E0,1.096587181E1,-4.979153442E1,5.164759797E1
1.357867458E0,-8.301914215E0,1.101775837E1,-4.969689941E1,5.157610484E1
1.367915458E0,-8.164226532E0,1.095261002E1,-4.962300491E1,5.146898948E1
1.377964458E0,-8.236721039E0,1.115466881E1,-4.958041763E1,5.148289058E1
1.388012458E0,-8.062263489E0,1.103219414E1,-4.941754532E1,5.127185568E1
1.398060458E0,-8.047561646E0,1.107864952E1,-4.955262375E1,5.140974853E1
1.408108583E0,-8.094432831E0,1.130712414E1,-4.954421997E1,5.145872746E1
1.418156583E0,-7.992160797E0,1.121300602E1,-4.968657303E1,5.155930253E1
1.428204583E0,-7.968620300E0,1.130399132E1,-4.958626175E1,5.147889357E1
1.438253583E0,-7.977005005E0,1.150365829E1,-4.961439896E1,5.155148249E1
1.448301583E0,-7.909408569E0,1.128682137E1,-4.958230972E1,5.146218532E1
1.458349583E0,-7.856353760E0,1.160584641E1,-4.935932159E1,5.131043357E1
1.468398583E0,-7.769123077E0,1.167443085E1,-4.954721069E1,5.149347237E1
1.478446583E0,-7.695117950E0,1.190093899E1,-4.957181168E1,5.155784811E1
1.488494583E0,-7.392642975E0,1.173827648E1,-4.955871964E1,5.146362790E1
1.498543583E0,-7.052135468E0,1.177968025E1,-4.946549225E1,5.133544979E1
1.508591583E0,-6.829513550E0,1.194186401E1,-4.956939316E1,5.144293061E1
1.518640583E0,-6.752628326E0,1.197082043E1,-4.955548477E1,5.142610817E1
1.528688583E0,-6.778602600E0,1.225689507E1,-4.947674179E1,5.142109400E1
1.538736583E0,-6.660964966E0,1.230352592E1,-4.944178772E1,5.138322272E1
1.548785583E0,-6.680644989E0,1.268048477E1,-4.935248184E1,5.139156716E1
1.558833583E0,-6.773159027E0,1.298421574E1,-4.920311356E1,5.133626326E1
1.568881583E0,-6.766162872E0,1.315149307E1,-4.917970276E1,5.135548552E1
1.578930583E0,-6.664245605E0,1.323503685E1,-4.918051910E1,5.136440235E1
1.588978583E0,-6.723407745E0,1.336130524E1,-4.936194611E1,5.157839095E1
1.599026583E0,-6.721305847E0,1.346491051E1,-4.948488617E1,5.172266163E1
1.609075583E0,-6.793899536E0,1.391207886E1,-4.933657455E1,5.170880581E1
1.619123583E0,-6.645168304E0,1.386391354E1,-4.931642532E1,5.165729539E1
1.629172583E0,-6.722465515E0,1.405974865E1,-4.932530594E1,5.172865628E1
1.639220583E0,-6.760227203E0,1.432619667E1,-4.945806122E1,5.193303768E1
1.649268583E0,-6.836437225E0,1.421376228E1,-4.941704178E1,5.187303664E1
1.659317583E0,-6.875778198E0,1.435306644E1,-4.927630615E1,5.178263406E1
1.669365583E0,-6.923851013E0,1.442975235E1,-4.906402969E1,5.160849228E1
1.679413583E0,-6.864242554E0,1.433452511E1,-4.926383209E1,5.176409555E1
1.689462583E0,-7.029026031E0,1.429888630E1,-4.926084518E1,5.177350891E1
1.699510583E0,-7.173908234E0,1.445866203E1,-4.895663834E1,5.154871778E1
1.709558583E0,-7.258152008E0,1.426299000E1,-4.906158829E1,5.160574677E1
1.719607583E0,-7.361019135E0,1.433759308E1,-4.916227341E1,5.173664373E1
1.729655583E0,-7.716945648E0,1.454610062E1,-4.931231308E1,5.198888838E1
1.739704583E0,-8.051391602E0,1.447618771E1,-4.914514542E1,5.186164513E1
1.749752583E0,-8.431713104E0,1.443036461E1,-4.895762634E1,5.173179279E1
1.759800583E0,-8.926784515E0,1.413529778E1,-4.881811905E1,5.160138440E1
1.769849583E0,-9.378162384E0,1.408262539E1,-4.875716019E1,5.160940745E1
1.779897583E0,-9.760009766E0,1.421436691E1,-4.870203018E1,5.166424064E1
1.789945583E0,-9.990062714E0,1.439547253E1,-4.869089127E1,5.174779101E1
1.799994583E0,-1.005029678E1,1.466693115E1,-4.851493073E1,5.167035744E1
1.810042583E0,-1.021647644E1,1.521958160E1,-4.832150269E1,5.168152162E1
1.820090583E0,-1.031462097E1,1.572278786E1,-4.812876892E1,5.167180916E1
1.830139583E0,-1.039305878E1,1.611114693E1,-4.802869797E1,5.171402667E1
1.840187583E0,-1.053479385E1,1.652904892E1,-4.795344162E1,5.180467067E1
1.850236583E0,-1.088186264E1,1.721754074E1,-4.755540085E1,5.173369109E1
1.860284583E0,-1.098843384E1,1.764979172E1,-4.752116776E1,5.187024398E1
1.870332583E0,-1.113611221E1,1.803003693E1,-4.727090454E1,5.180379950E1
1.880381583E0,-1.125936890E1,1.840896606E1,-4.695930481E1,5.168016764E1
1.890429583E0,-1.116075134E1,1.886906052E1,-4.663554382E1,5.153132798E1
1.900477583E0,-1.135430908E1,1.934133911E1,-4.666218567E1,5.177226386E1
1.910526583E0,-1.149833298E1,1.986206055E1,-4.655657196E1,5.190594863E1
1.920574583E0,-1.170055008E1,2.026977921E1,-4.629406738E1,5.187395778E1
1.930622583E0,-1.166993713E1,2.037980652E1,-4.627518082E1,5.189331658E1
1.940671583E0,-1.163582230E1,2.090276527E1,-4.591393280E1,5.177264897E1
1.950719583E0,-1.191469955E1,2.140355873E1,-4.574072266E1,5.188724411E1
1.960768583E0,-1.195046997E1,2.182278824E1,-4.573217010E1,5.206226274E1
1.970816583E0,-1.194876480E1,2.213139725E1,-4.543390656E1,5.193083467E1
1.980864583E0,-1.177227020E1,2.247449112E1,-4.542864990E1,5.203317527E1
1.990913583E0,-1.180301285E1,2.284413147E1,-4.511101532E1,5.192464885E1
2.000961583E0,-1.185308838E1,2.313845444E1,-4.498047256E1,5.195312012E1
2.011009583E0,-1.163049698E1,2.332006264E1,-4.472091675E1,5.175958053E1
2.021058583E0,-1.142756271E1,2.367652512E1,-4.469544983E1,5.185412488E1
2.031106583E0,-1.134285355E1,2.417963028E1,-4.461701584E1,5.199993221E1
2.041155583E0,-1.136213684E1,2.475466728E1,-4.425245667E1,5.196317568E1
2.051203583E0,-1.126789474E1,2.508100891E1,-4.406679535E1,5.194136032E1
2.061251583E0,-1.118656158E1,2.534413528E1,-4.408680725E1,5.206832940E1
2.071300583E0,-1.110260010E1,2.576132584E1,-4.365766144E1,5.189320803E1
2.081348583E0,-1.103705597E1,2.617014503E1,-4.339347839E1,5.186219300E1
2.091396583E0,-1.093304062E1,2.666171455E1,-4.324451447E1,5.196601227E1
2.101445583E0,-1.076842880E1,2.711561775E1,-4.292510223E1,5.190163954E1
2.111493583E0,-1.063041687E1,2.742183876E1,-4.295030975E1,5.205470307E1
2.121541583E0,-1.056744003E1,2.793052483E1,-4.258687592E1,5.201371940E1
2.131590583E0,-1.036708832E1,2.801502228E1,-4.253102112E1,5.197312527E1
2.141638583E0,-1.027320099E1,2.829976654E1,-4.244730377E1,5.204026366E1
2.151687583E0,-1.023068619E1,2.853721237E1,-4.252365112E1,5.222356111E1
2.161735583E0,-1.011833191E1,2.841265869E1,-4.263165283E1,5.222181190E1
2.171783583E0,-9.968257904E0,2.854624367E1,-4.260853958E1,5.224693138E1
2.181832583E0,-9.842864990E0,2.866271782E1,-4.253839874E1,5.222976883E1
2.191880583E0,-9.630306244E0,2.864715958E1,-4.246047211E1,5.211807980E1
2.201928583E0,-9.568367004E0,2.877808952E1,-4.252695465E1,5.223288194E1
2.211977583E0,-9.545959473E0,2.876006508E1,-4.258351135E1,5.226492251E1
2.222025583E0,-9.312191010E0,2.863115883E1,-4.258630371E1,5.215413139E1
2.232074583E0,-9.231456757E0,2.887219429E1,-4.256945801E1,5.225879976E1
2.242122583E0,-9.067707062E0,2.921919823E1,-4.224977875E1,5.216348014E1
