"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.168843060E-1,-1.052859974E1,-3.309859848E1,-3.962559891E1,5.269304245E1
7.268843060E-1,-1.091899967E1,-3.283020020E1,-3.947919846E1,5.249432073E1
7.368843060E-1,-1.100440025E1,-3.261059952E1,-3.939379883E1,5.231079632E1
7.468843060E-1,-1.123619938E1,-3.231779861E1,-3.938159943E1,5.216898175E1
7.568843060E-1,-1.128499985E1,-3.225679779E1,-3.947919846E1,5.221550858E1
7.668843060E-1,-1.155340004E1,-3.208599854E1,-3.954019928E1,5.221512916E1
7.768843060E-1,-1.179739952E1,-3.163459969E1,-3.958900070E1,5.203090917E1
7.868843060E-1,-1.161439991E1,-3.151259995E1,-3.946699905E1,5.182260371E1
7.968843060E-1,-1.177299976E1,-3.112220001E1,-3.966220093E1,5.177146936E1
8.068843060E-1,-1.159000015E1,-3.106119919E1,-3.983300018E1,5.182464763E1
8.168843060E-1,-1.195599937E1,-3.095139885E1,-4.016239929E1,5.209561717E1
8.268843060E-1,-1.230980015E1,-3.074399948E1,-4.052840042E1,5.233809248E1
8.368843060E-1,-1.233419991E1,-3.050000000E1,-4.033319855E1,5.204948984E1
8.468843060E-1,-1.270020008E1,-3.008519936E1,-4.073579788E1,5.220938164E1
8.568843060E-1,-1.317599964E1,-3.002419853E1,-4.089439774E1,5.241575365E1
8.668843060E-1,-1.332240009E1,-2.988999939E1,-4.071139908E1,5.223328845E1
8.768843060E-1,-1.373719978E1,-2.990219879E1,-4.090660095E1,5.249954430E1
8.868843060E-1,-1.406659985E1,-2.971920013E1,-4.061380005E1,5.225495998E1
8.968843060E-1,-1.410319996E1,-2.967039871E1,-4.004039764E1,5.179253085E1
9.068843060E-1,-1.398119926E1,-2.956060028E1,-3.974760056E1,5.147013476E1
9.168843060E-1,-1.404220009E1,-2.956060028E1,-3.956459808E1,5.134559274E1
9.268843060E-1,-1.412759972E1,-2.978019905E1,-3.935720062E1,5.133652277E1
9.368843060E-1,-1.410319996E1,-2.982899857E1,-3.933279800E1,5.133944296E1
9.468843060E-1,-1.449359989E1,-2.974359894E1,-3.919860077E1,5.129596883E1
9.568843060E-1,-1.424959946E1,-2.981679916E1,-3.922299957E1,5.128875406E1
9.668843060E-1,-1.444479942E1,-2.975580025E1,-3.962559891E1,5.161635368E1
9.768843060E-1,-1.495720005E1,-2.945079994E1,-3.980859756E1,5.172805709E1
9.868843060E-1,-1.534759998E1,-2.940199852E1,-3.963779831E1,5.168347315E1
9.968843060E-1,-1.596980000E1,-2.906040001E1,-4.019899750E1,5.211046690E1
1.006884306E0,-1.646999931E1,-2.868219948E1,-4.030879974E1,5.214143056E1
1.016884306E0,-1.660420036E1,-2.864559937E1,-4.011359787E1,5.201317686E1
1.026884306E0,-1.686039925E1,-2.858459854E1,-4.005260086E1,5.201502833E1
1.036884306E0,-1.715320015E1,-2.845039940E1,-3.980859756E1,5.184960888E1
1.046884306E0,-1.706780052E1,-2.824300003E1,-3.980859756E1,5.170784569E1
1.056884306E0,-1.679940033E1,-2.820639992E1,-4.049179840E1,5.212875009E1
1.066884306E0,-1.670179939E1,-2.816979980E1,-4.062599945E1,5.218198497E1
1.076884306E0,-1.657979965E1,-2.824300003E1,-4.085779953E1,5.236331339E1
1.086884306E0,-1.601860046E1,-2.845039940E1,-4.080899811E1,5.226275073E1
1.096884306E0,-1.572579956E1,-2.827960014E1,-4.118719864E1,5.237768502E1
1.106884306E0,-1.521339989E1,-2.830399895E1,-4.180939865E1,5.273129724E1
1.116884306E0,-1.487179947E1,-2.832839966E1,-4.206559753E1,5.285057372E1
1.126884306E0,-1.476200008E1,-2.821859932E1,-4.217539978E1,5.284856044E1
1.136884306E0,-1.465219975E1,-2.815760040E1,-4.219979858E1,5.280492797E1
1.146884306E0,-1.446920013E1,-2.785260010E1,-4.274879837E1,5.303380853E1
1.156884306E0,-1.399339962E1,-2.781599998E1,-4.251699829E1,5.269952781E1
1.166884306E0,-1.389579964E1,-2.773060036E1,-4.261459732E1,5.270752649E1
1.176884306E0,-1.413980007E1,-2.757199860E1,-4.278540039E1,5.282745062E1
1.186884306E0,-1.420079994E1,-2.749880028E1,-4.260239792E1,5.265748802E1
1.196884306E0,-1.438379955E1,-2.754759979E1,-4.256579971E1,5.270304782E1
1.206884306E0,-1.474979973E1,-2.773060036E1,-4.246820068E1,5.282131064E1
1.216884306E0,-1.542079926E1,-2.760859871E1,-4.234619904E1,5.285107705E1
1.226884306E0,-1.592099953E1,-2.764519882E1,-4.270000076E1,5.330126930E1
1.236884306E0,-1.670179939E1,-2.776719856E1,-4.252919769E1,5.346681284E1
1.246884306E0,-1.728739929E1,-2.775499916E1,-4.250479889E1,5.362697158E1
1.256884306E0,-1.749480057E1,-2.815760040E1,-4.202899933E1,5.352901355E1
1.266884306E0,-1.778759956E1,-2.826739883E1,-4.152880096E1,5.329245579E1
1.276884306E0,-1.816580009E1,-2.840159988E1,-4.145560074E1,5.343420255E1
1.286884306E0,-1.808040047E1,-2.832839966E1,-4.156539917E1,5.345167459E1
1.296884306E0,-1.805599976E1,-2.845039940E1,-4.133359909E1,5.332832987E1
1.306884306E0,-1.803159904E1,-2.846259880E1,-4.116279984E1,5.319430594E1
1.316884306E0,-1.786079979E1,-2.830399895E1,-4.149219894E1,5.330785213E1
1.326884306E0,-1.820240021E1,-2.810879898E1,-4.221199799E1,5.388213737E1
1.336884306E0,-1.819019890E1,-2.787699890E1,-4.254140091E1,5.401649003E1
1.346884306E0,-1.848299980E1,-2.753540039E1,-4.296839905E1,5.427801464E1
1.356884306E0,-1.876359940E1,-2.720599937E1,-4.338319778E1,5.453751841E1
1.366884306E0,-1.901980019E1,-2.738899994E1,-4.309040070E1,5.448571142E1
1.376884306E0,-1.910519981E1,-2.763299942E1,-4.349300003E1,5.495664080E1
1.386884306E0,-1.941020012E1,-2.815760040E1,-4.272439957E1,5.472641636E1
1.396884306E0,-1.950779915E1,-2.857239914E1,-4.206559753E1,5.446513303E1
1.406884306E0,-1.933699989E1,-2.908479881E1,-4.091880035E1,5.379770729E1
1.416884306E0,-1.958099937E1,-2.936540031E1,-4.040639877E1,5.365090245E1
1.426884306E0,-1.962979889E1,-2.985339928E1,-4.050399780E1,5.401044613E1
1.436884306E0,-1.911739922E1,-3.060980034E1,-3.977199936E1,5.370518376E1
1.446884306E0,-1.894659996E1,-3.095139885E1,-3.940599823E1,5.357047169E1
1.456884306E0,-1.858059883E1,-3.147599983E1,-3.861299896E1,5.316898445E1
1.466884306E0,-1.819019890E1,-3.179319954E1,-3.861299896E1,5.322268841E1
1.476884306E0,-1.775099945E1,-3.212260056E1,-3.844219971E1,5.314849166E1
1.486884306E0,-1.723859978E1,-3.253739929E1,-3.840559769E1,5.320565392E1
1.496884306E0,-1.717759895E1,-3.295219803E1,-3.883259964E1,5.374837724E1
1.506884306E0,-1.705559921E1,-3.356219864E1,-3.843000031E1,5.379757955E1
1.516884306E0,-1.694579887E1,-3.383060074E1,-3.814939880E1,5.373124114E1
1.526884306E0,-1.703120041E1,-3.412339783E1,-3.841780090E1,5.413312750E1
1.536884306E0,-1.689699936E1,-3.428199768E1,-3.816159821E1,5.400992066E1
1.546884306E0,-1.681159973E1,-3.466019821E1,-3.777119827E1,5.395018670E1
1.556884306E0,-1.701899910E1,-3.505059814E1,-3.757600021E1,5.413082812E1
1.566884306E0,-1.701899910E1,-3.546540070E1,-3.696599960E1,5.398079384E1
